Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
218763638.756,-37413508.4447,,470883680.023,
194991568.181,287858224.382,,132882513.095,
256188500.946,46988161.8141,,1068379612.15,
239550048.436,-31556558.7597,,316720687.135,
117095545.307,146222293.579,,97459056.1176,
219480736.066,12310088.1384,,122579542.419,
153068556.083,173495249.839,,248189847.734,
158636597.631,-9257079.45996,,677078947.322,
264895584.232,-5928529.79293,,9491591.68451,
159650112.818,24785107.9,,205269762.576,
313866835.249,4986641.977,,256796847.279,
67950441.9476,30661727.6366,,346027604.718,
288054238.175,0.0,,395539767.576,
207246848.724,258151196.108,,575388958.218,
90486373.1811,13847166.4791,,477797777.913,
114096544.524,-3481601.44686,,138651781.761,
66784551.5518,53403467.6082,,21094734.6803,
123708382.453,5651494.25756,,315326964.148,
150615166.381,8527139.20693,,246184650.587,
136685192.982,116731746.933,,479448935.706,
135051948.414,32751351.2489,,516266968.172,
11697564.2185,177267009.252,,479230082.685,
271143480.327,8995505.22973,,302859359.48,
302190329.618,111110769.743,,120330184.486,
107909723.878,148220340.558,,684499032.895,
128283395.13,54898234.2931,,188441513.336,
46685567.1946,175464329.493,,46712840.991,
35672674.7433,47092346.2945,,165884000.128,
224324954.128,17308044.4114,,86752635.1092,
377564804.801,178684935.216,,477572645.981,
46472376.0764,129885111.674,,609426704.155,
16137941.4255,284249724.099,,302472967.517,
172555151.664,41223759.2316,,307420039.854,
5020802.50931,179586795.901,,790460278.018,
13974604.291,1362143.04396,,471049014.216,
69565938.7033,234249879.931,,387677509.561,
414808408.41,74812551.1055,,320383782.912,
525887636.101,-4404648.97427,,1549775384.68,
141076965.623,85500791.3771,,354798726.606,
63954102.8606,17487732.6738,,423425541.561,
542713385.372,108078779.35,,713948407.548,
347885304.578,297818646.379,,286613329.858,
274237026.467,229768256.439,,253584656.355,
146240393.039,329345701.736,,447645718.413,
115955921.029,84882504.2899,,413556158.171,
18659115.2185,152078676.856,,412863506.861,
245132103.905,270051112.519,,391184171.934,
27934065.6284,250073029.783,,262923035.893,
10885748.2219,82563190.7116,,246278708.276,
59614537.2103,279779338.958,,32161287.6859,
95641203.9347,115003636.569,,196133814.36,
102320583.398,140850358.5,,47919233.1377,
14024521.1002,72843194.1358,,176871170.605,
84487274.5897,108682621.731,,421390327.813,
155337934.821,9739985.50765,,380854034.398,
267495263.811,150935069.49,,52988385.0416,
306969958.733,197181087.417,,66174564.8538,
66872489.4174,17451244.3845,,581530145.443,
15515182.6087,152880090.792,,215166559.604,
132616896.633,-1627778.48427,,196111951.71,
418316024.19,-2784022.74264,,540931771.273,
628120259.167,36082234.4094,,415654070.976,
289352848.123,62514966.238,,411387027.753,
470298.41113,244586307.933,,713504320.178,
552152819.289,167114049.663,,379686864.249,
59498345.946,41516662.6188,,397411429.526,
61915391.1842,167439722.153,,108634976.301,
228103464.144,21320623.191,,679601897.178,
226263413.246,25794853.8692,,45331621.0379,
339259507.971,92737095.099,,53095100.723,
38498451.0361,56469890.2235,,340914935.587,
132037602.17,72529280.3712,,456280660.147,
64659992.6507,36385692.1216,,786102751.66,
314363321.791,255052871.462,,318052299.509,
140553534.022,111830499.831,,23517632.7291,
189878969.566,216661581.651,,-2667819.01818,
103220506.392,117886656.958,,49292453.4284,
91485172.4351,5154079.72247,,225255245.201,
53627249.2532,102055605.747,,260650997.44,
-66175870.9673,182193196.998,,383215123.629,
353232533.296,40208694.8559,,465696664.818,
1600656.39195,1531035.07921,,116588264.959,
89623573.8276,149001521.516,,132177457.061,
243007374.053,-41018448.5373,,17547493.1765,
567157328.475,185886313.498,,162963159.06,
223938759.625,8511559.66853,,284033656.831,
82074848.1722,61022695.9087,,463076996.195,
26886327.8475,16530161.5555,,321837357.309,
66512052.1613,15388587.4319,,110360768.508,
213645440.479,153554808.535,,119167790.805,
222817589.819,29368721.9102,,341257328.854,
246256191.567,186024140.969,,55065977.6682,
161433805.99,3861718.40646,,210696135.736,
39017873.5963,0.0,,748573504.151,
46628689.163,34363599.3834,,381503546.14,
277000776.08,46601489.5806,,522898569.693,
84603836.2122,13376764.3807,,522462020.177,
102486665.933,0.0,,58835915.6634,
26521028.1544,156604114.291,,335233579.505,
