Lng,Lat,id,Des,AreaSub
-75.7011437399129,4.80989190612474,3,VENTORRILLO,14996659.63135
-75.7000543989349,4.80966820868979,3,VENTORRILLO,14996659.63135
-75.6901627519788,4.80951987794374,3,VENTORRILLO,14996659.63135
-75.6878221887873,4.80944943646244,3,VENTORRILLO,14996659.63135
-75.6878668843168,4.81060282006971,3,VENTORRILLO,14996659.63135
-75.6879002935936,4.81122333596402,3,VENTORRILLO,14996659.63135
-75.6879208495385,4.81170685240013,3,VENTORRILLO,14996659.63135
-75.6880098044426,4.81232986749122,3,VENTORRILLO,14996659.63135
-75.6880622963816,4.81390382794698,3,VENTORRILLO,14996659.63135
-75.6863798577202,4.81578586805557,3,VENTORRILLO,14996659.63135
-75.6854343217026,4.81581796953838,3,VENTORRILLO,14996659.63135
-75.6846766590726,4.81581455456829,3,VENTORRILLO,14996659.63135
-75.6842623525603,4.81586677824327,3,VENTORRILLO,14996659.63135
-75.6840394458055,4.8170162455629,3,VENTORRILLO,14996659.63135
-75.6831661349054,4.81643581864438,3,VENTORRILLO,14996659.63135
-75.6828861829723,4.81613275643992,3,VENTORRILLO,14996659.63135
-75.6821222956803,4.81585882424781,3,VENTORRILLO,14996659.63135
-75.6800594217857,4.81576776834693,3,VENTORRILLO,14996659.63135
-75.6727805663986,4.81133655567362,3,VENTORRILLO,14996659.63135
-75.6676166196111,4.80686772911995,3,VENTORRILLO,14996659.63135
-75.6621668661946,4.80419595845249,3,VENTORRILLO,14996659.63135
-75.6642512934993,4.80012748554483,3,VENTORRILLO,14996659.63135
-75.6594139272255,4.78559727095577,3,VENTORRILLO,14996659.63135
-75.6715073414551,4.78456430506934,3,VENTORRILLO,14996659.63135
-75.6882308058298,4.7864236410371,3,VENTORRILLO,14996659.63135
-75.6947635423021,4.7890404763557,3,VENTORRILLO,14996659.63135
-75.7011437399129,4.80989190612474,3,VENTORRILLO,14996659.63135
