X,Y,id,Des,AreaSub
-8400207.5488422,726211.069731024,2,DOSQUEBRADAS,9588288.93164
-8399951.16998712,726163.47184889,2,DOSQUEBRADAS,9588288.93164
-8400897.84887883,726238.33125065,2,DOSQUEBRADAS,9588288.93164
-8401086.45272338,726252.991038475,2,DOSQUEBRADAS,9588288.93164
-8402275.48845087,726636.823869982,2,DOSQUEBRADAS,9588288.93164
-8402778.1134789,726920.442442358,2,DOSQUEBRADAS,9588288.93164
-8402928.8005258,726791.514587829,2,DOSQUEBRADAS,9588288.93164
-8403323.60284986,726777.451450705,2,DOSQUEBRADAS,9588288.93164
-8403555.74542219,727363.75558083,2,DOSQUEBRADAS,9588288.93164
-8403733.2270357,727350.593213162,2,DOSQUEBRADAS,9588288.93164
-8404099.43625725,727336.84102586,2,DOSQUEBRADAS,9588288.93164
-8404638.74980249,727738.307505826,2,DOSQUEBRADAS,9588288.93164
-8405297.60576122,728176.047139636,2,DOSQUEBRADAS,9588288.93164
-8406002.11318499,728310.591181061,2,DOSQUEBRADAS,9588288.93164
-8405837.46634079,728551.080593775,2,DOSQUEBRADAS,9588288.93164
-8405507.65225313,729198.65650118,2,DOSQUEBRADAS,9588288.93164
-8405202.12350186,729204.2298815,2,DOSQUEBRADAS,9588288.93164
-8404446.85132658,729686.816991921,2,DOSQUEBRADAS,9588288.93164
-8403630.57720001,729953.661217475,2,DOSQUEBRADAS,9588288.93164
-8402821.59776245,729938.241310152,2,DOSQUEBRADAS,9588288.93164
-8402632.74872348,728494.366994504,2,DOSQUEBRADAS,9588288.93164
-8402600.20291392,728492.152491368,2,DOSQUEBRADAS,9588288.93164
-8402517.62334212,728510.379464173,2,DOSQUEBRADAS,9588288.93164
-8402038.00320966,728605.279416516,2,DOSQUEBRADAS,9588288.93164
-8404141.62725034,724971.388556289,5,NARANJITO,12775366.53662
-8404013.46631701,725178.976812824,5,NARANJITO,12775366.53662
-8403786.41685336,725366.283222231,5,NARANJITO,12775366.53662
-8403580.89371075,725335.866494094,5,NARANJITO,12775366.53662
-8403284.12024715,725397.984803942,5,NARANJITO,12775366.53662
-8403167.52289448,725551.724229129,5,NARANJITO,12775366.53662
-8403062.87873096,725687.70529052,5,NARANJITO,12775366.53662
-8403006.73891251,725716.695328521,5,NARANJITO,12775366.53662
-8402783.1439337,725774.491281815,5,NARANJITO,12775366.53662
-8402770.3263215,725664.238090525,5,NARANJITO,12775366.53662
-8402155.26024003,725815.3899695,5,NARANJITO,12775366.53662
-8401596.52266703,725428.31994155,5,NARANJITO,12775366.53662
-8401002.8383557,724560.418326576,5,NARANJITO,12775366.53662
-8400796.45763353,723120.033531682,5,NARANJITO,12775366.53662
-8398144.09219064,716178.659602716,5,NARANJITO,12775366.53662
-8399811.99249899,717411.514558717,5,NARANJITO,12775366.53662
-8401791.55080609,723414.637441443,5,NARANJITO,12775366.53662
-8401791.7666923,723488.555601238,5,NARANJITO,12775366.53662
-8402019.1548939,723292.836611787,5,NARANJITO,12775366.53662
-8402140.1878783,723162.069064512,5,NARANJITO,12775366.53662
-8402323.40629858,723084.928230702,5,NARANJITO,12775366.53662
-8402684.43500832,723192.51244575,5,NARANJITO,12775366.53662
-8403067.94906132,723547.171455854,5,NARANJITO,12775366.53662
-8403525.74969876,724083.527276759,5,NARANJITO,12775366.53662
-8403631.35129792,724207.873504255,5,NARANJITO,12775366.53662
-8403735.17738904,724280.377493056,5,NARANJITO,12775366.53662
-8403746.22025019,724510.209717186,5,NARANJITO,12775366.53662
-8403938.17792373,724703.103568033,5,NARANJITO,12775366.53662
-8404047.90209101,724813.249190943,5,NARANJITO,12775366.53662
-8404119.34192719,724877.621615319,5,NARANJITO,12775366.53662
-8404141.62725034,724971.388556289,5,NARANJITO,12775366.53662
-8405979.28004532,728282.334211456,4,CUBA,23446171.78320
-8405298.18205621,728163.416668639,4,CUBA,23446171.78320
-8404098.87988505,727318.517874642,4,CUBA,23446171.78320
-8403561.13627975,727345.118306589,4,CUBA,23446171.78320
-8403328.69875442,726749.601715289,4,CUBA,23446171.78320
-8402922.09138829,726776.869213424,4,CUBA,23446171.78320
-8402768.3417606,726895.732821282,4,CUBA,23446171.78320
-8402284.2191699,726624.118548072,4,CUBA,23446171.78320
-8401576.34354535,726389.241281325,4,CUBA,23446171.78320
-8401252.25464702,726290.605339149,4,CUBA,23446171.78320
-8400973.00293533,724558.232794704,4,CUBA,23446171.78320
-8401561.97401772,725435.399504014,4,CUBA,23446171.78320
-8402154.64948837,725833.033939147,4,CUBA,23446171.78320
-8402742.91039464,725693.893767375,4,CUBA,23446171.78320
-8402760.97831932,725798.786448246,4,CUBA,23446171.78320
-8403080.92976574,725724.934572657,4,CUBA,23446171.78320
-8403261.45952785,725458.405547516,4,CUBA,23446171.78320
-8403599.16731532,725374.027051016,4,CUBA,23446171.78320
-8403793.18276322,725396.756690442,4,CUBA,23446171.78320
-8404036.58027341,725203.073692982,4,CUBA,23446171.78320
-8404179.13865501,724992.029886972,4,CUBA,23446171.78320
-8404149.01274158,724817.190238221,4,CUBA,23446171.78320
-8404045.08946462,724603.479098005,4,CUBA,23446171.78320
-8404154.56662944,724378.982811173,4,CUBA,23446171.78320
-8404194.6418505,724173.566945851,4,CUBA,23446171.78320
-8404113.3458274,723880.382050522,4,CUBA,23446171.78320
-8404131.58531848,723742.949912099,4,CUBA,23446171.78320
-8404075.54321246,723693.564451127,4,CUBA,23446171.78320
-8403965.89941272,723560.315301635,4,CUBA,23446171.78320
-8404022.56364407,723240.453689651,4,CUBA,23446171.78320
-8403964.21410558,722983.218370834,4,CUBA,23446171.78320
-8403840.86940865,722803.029926939,4,CUBA,23446171.78320
-8403965.62521698,722602.479719638,4,CUBA,23446171.78320
-8404234.85409931,722283.281479173,4,CUBA,23446171.78320
-8404460.20815417,722584.735105962,4,CUBA,23446171.78320
-8404477.36480141,722943.47535306,4,CUBA,23446171.78320
-8404770.46685947,723248.843670677,4,CUBA,23446171.78320
-8405003.92681149,723435.385426755,4,CUBA,23446171.78320
-8405188.99758878,723584.526414698,4,CUBA,23446171.78320
-8405403.36359699,723319.869969115,4,CUBA,23446171.78320
-8405777.38633956,723202.886022135,4,CUBA,23446171.78320
-8406009.3620241,723170.061561582,4,CUBA,23446171.78320
-8406260.24307412,723230.660513356,4,CUBA,23446171.78320
-8406925.06227586,723211.193123202,4,CUBA,23446171.78320
-8407148.42103426,723420.273258422,4,CUBA,23446171.78320
-8407216.85219571,723655.071787881,4,CUBA,23446171.78320
-8407153.81201396,723824.587281216,4,CUBA,23446171.78320
-8407298.63502306,723821.383257836,4,CUBA,23446171.78320
-8407635.85010732,723863.888119426,4,CUBA,23446171.78320
-8407686.51304014,724109.218479883,4,CUBA,23446171.78320
-8407311.9881118,724353.135657554,4,CUBA,23446171.78320
-8407016.46228359,724682.392392648,4,CUBA,23446171.78320
-8407291.92843322,724755.988549473,4,CUBA,23446171.78320
-8407430.72580097,724717.818275802,4,CUBA,23446171.78320
-8407566.89347094,724956.53647043,4,CUBA,23446171.78320
-8407627.94379627,725294.817055182,4,CUBA,23446171.78320
-8407707.36158145,725504.86989567,4,CUBA,23446171.78320
-8408232.7466749,725109.170436644,4,CUBA,23446171.78320
-8408385.48427328,725619.546416031,4,CUBA,23446171.78320
-8408799.59107814,725992.092931156,4,CUBA,23446171.78320
-8408964.00929648,726369.176633503,4,CUBA,23446171.78320
