Lunes,Martes,Miercoles,Jueves,Viernes
187658512.86,128244639.67,24987523.8056,1062731872.09,1.82520890866e+11
51886061.3182,90690935.4265,28778937.8582,3.85012093086e+11,1.23659315539e+11
1.29705686354e+11,1.24012741087e+11,9.05876222329e+11,1.86833693116e+11,58546860.5548
4045346.05061,5.04292315055e+11,1.18855943959e+11,44114981.3126,7.52518036921e+11
1.91260945094e+11,2.26609895239e+11,2.50559428114e+11,214485586.62,2.15553137564e+11
140020678.18,325310988.47,93022644.9149,1.12595527914e+11,1.64526054357e+11
1.82073620567e+11,107914074.23,5.60053099876e+11,1.23881012791e+11,2.27486990486e+11
4.19021317683e+11,1.51537795047e+11,2.27289487387e+11,1.41072841274e+11,3.44522207687e+11
4.05861446246e+11,8.31856147997e+11,3.39086182239e+11,1.09145438382e+11,1.31336210577e+11
4.58389585949e+11,1.67300678279e+11,2.35970008577e+11,2.93246585857e+11,16198556148.0
1.90996279271e+11,1.31232103111e+11,3.69072309504e+11,4.26216269212e+11,2.07094008149e+11
2.36953137228e+11,19471168.5728,68166051.2702,18313963.8403,205187675.81
27461045.0132,1.65850432737e+11,224904853.78,2.34589006784e+11,46681907.8295
84518017.7431,1.88060935013e+11,4.15592415675e+11,33265239.0944,2.05696471391e+11
4.16151876044e+11,1.09351656674e+11,4.60904844015e+11,77141131.2599,1.51251327296e+11
1.90200775914e+11,1.28215703744e+11,325311672.65,2.92518994738e+11,225330410.68
71503666.2247,4.46424211496e+11,2.05398830103e+11,1.32288775302e+11,13250457.6564
69444507.3571,4.27159249015e+11,5.04395591273e+11,58160294.0008,2.87893552719e+11
90935181.3331,1.32404275827e+11,5.59755175143e+11,112404931.57,2.76103616571e+11
1.62347805892e+11,194501170.61,66857765.0203,74596718589.0,5.44607710821e+11
5.24805714796e+11,7.35700833505e+11,95865436.0945,7844814.10505,18788092.7147
613529343.99,7.21954508621e+11,1731486.05607,5.87655440231e+11,7.71184435474e+11
27482502.75,362635531.28,3.29457377558e+11,77696515.6845,74375911.7621
4.23883807729e+11,1140003077.58,15699424.3104,106797283.19,6285451.9591
7.00249299466e+11,245590085.15,1.16520974871e+11,84683590.8073,1.74359237674e+11
1.60405346828e+11,1.03956858936e+11,2.20908056302e+11,9.15764195223e+11,3.82051921592e+11
262841611.29,64598896.2294,67370115.9639,2.03272619611e+11,2.09576655012e+11
2.51915456178e+11,2.08952970406e+11,1.11805051899e+11,96200258.3584,6.43592889825e+11
1.01854483861e+11,1.25922869964e+11,2.58346573904e+11,48351582.4462,1289281472.14
289178448.01,85141284.9463,1.89768997686e+11,3.33772981889e+11,9845221.79629
3.68795713629e+11,6.41991311679e+11,6.46909142407e+11,1.64811704945e+11,1.38578341772e+11
3.47212719055e+11,3.23928606831e+11,1.46534751149e+11,0.0,3.98597599264e+11
6.16139934146e+11,72160867.9587,3.09361866844e+11,2.32704353662e+11,99151160308.0
1.67827994241e+11,1.79142849899e+11,1.05540766054e+11,1.82752430517e+11,4.59727734499e+11
