Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
335777965.523,71657889.5765,101895061.035,34476518.9334,629525747.893
304448572.022,112169818.688,671727674.093,333295757.844,653508811.748
132461447.589,11491441.4621,1361708251.5,453511264.483,636002633.658
315554388.46,227914796.747,623050061.917,1029130693.31,312585809.015
206063761.13,11336967.9092,995887792.067,411251878.536,582294398.075
67356888.0792,4016041.75582,507804019.84,222268327.957,527896171.271
297944111.301,11848317.5596,259325808.529,498130676.899,469654371.364
-3218506.81651,-13216939.9888,832318939.922,75539759.1464,143725875.499
44909291.4442,121621830.198,713587771.173,409159510.681,1019298821.86
278977908.424,69666876.0092,503154012.855,361265233.951,615976156.615
154295911.587,118731793.131,215963770.171,275107685.072,641243497.291
305902610.732,140982175.261,351599262.206,513583534.303,176593341.981
301452746.502,324137507.098,298394311.904,845619929.39,662379546.78
325548311.879,1841606.20383,77401172.43,88360311.9942,480011933.754
108823799.234,46414551.4406,1642417242.08,466940714.614,153926392.137
79977147.2655,0.0,495476818.174,427525807.625,233989867.148
17805883.6681,33830514.8159,435284939.934,646381940.985,453223214.757
65360766.2126,172856866.994,1485523860.69,547301547.009,1196197140.53
15165141.1993,0.0,76681568.692,94011324.8308,322585819.338
107688387.749,37732129.079,1445690734.96,18968428.2115,905032361.677
184230561.246,2302597.60555,341148783.508,48835911.6569,1440082718.36
277218974.319,118152488.717,193651352.214,-20966113.7774,650966374.444
23790916.6784,211207205.373,720222480.711,134369422.87,271324603.255
329921763.88,18024247.5645,200977923.27,880545508.514,338077149.451
399931329.111,289893538.175,221337431.2,147382994.363,1527162968.89
209599778.195,8836313.67836,769017669.753,383790150.171,374210669.325
-309695080.673,191765623.749,461922692.914,231343422.383,497730223.104
2451189.24715,228743419.704,227038125.325,409730637.304,
118905250.187,167838223.183,1418322165.72,131171855.565,
187981471.999,101997277.672,1158054337.99,341293844.655,
108766498.911,23982815.3223,372625911.826,70118618.5078,
20860253.0146,47836328.6567,473998662.67,402728047.98,
33438488.0069,47844475.05,342792201.94,516018851.663,
242617951.938,10974759.1232,365901370.684,577250356.001,
2840932.69474,277084914.756,470123213.579,269016818.201,
219424598.46,0.0,1516336994.77,697478583.463,
135265351.276,37001780.2176,327905035.047,569094979.037,
14552999.1569,58559398.5066,253346609.528,66823570.1841,
72794303.1682,44215265.7779,502835114.204,375329522.38,
167706211.051,111979843.065,195914618.235,406715358.594,
137859273.366,185746351.451,313451340.451,462943360.008,
61867744.4566,7991167.12278,217328454.252,644105574.71,
137602038.126,116291594.253,1024356224.11,363123354.825,
61627300.1353,129971477.019,719515308.237,194325763.378,
62706746.4926,42350492.3977,619506058.411,484080429.034,
496470492.131,197196410.657,236054375.243,43021496.4045,
44331697.1449,23157683.2064,264913719.994,376568662.603,
114900609.589,517108806.227,620103006.333,92464403.2779,
272611234.851,125891229.454,508126505.996,345023531.729,
58499094.8363,76835797.5322,176800571.043,393502204.943,
99273145.5304,140072797.084,1027243171.91,390669522.171,
153457162.296,73787737.5897,487555409.118,442730544.127,
54481523.2879,39016207.0597,504585077.429,265655054.619,
282889307.578,21469515.8166,983833495.255,256550763.111,
317873966.25,33583212.962,188178911.926,80738092.9344,
203745608.031,-10220422.547,331448610.545,24434774.8741,
78540151.3738,36254907.9798,36273871.0469,345312452.501,
161686898.08,1783059.35409,311592610.003,50126244.8666,
40055968.1436,165861662.848,196538299.296,-4616399.21439,
165647615.252,105860089.835,874818219.812,338707554.914,
106860330.192,84610871.3702,317275117.476,133531918.287,
