Centro,Dosquebradas,Ventorrillo,Cuba,Naranjito
33926230.5992,672808690.476,,,
83080418.0612,531867171.097,,,
669140401.469,666616012.349,,,
643528318.813,329330968.303,,,
4370211.24935,870201175.066,,,
487171903.279,910168902.283,,,
183911615.578,368467657.931,,,
17885137.9028,477429070.722,,,
149975425.141,893495050.696,,,
3582935.88989,343989197.222,,,
437640058.4,763687804.034,,,
613508897.332,1364848805.42,,,
183849318.392,1432341945.54,,,
280028600.467,411902086.092,,,
228860189.961,827356142.866,,,
84578622.9871,318516324.255,,,
-135349060.216,624864920.36,,,
325786444.037,900077076.124,,,
843272315.956,262219786.309,,,
245529919.961,1495160088.02,,,
490354315.853,386308916.061,,,
110084042.756,1902649887.78,,,
136123098.741,351244325.597,,,
74537897.1192,1028582520.51,,,
258998843.834,906000584.694,,,
191479987.278,155605254.329,,,
237826078.216,101089267.59,,,
878063736.051,1069005800.81,,,
1064223058.4,282892185.061,,,
-4281575.6922,159500634.289,,,
255912471.765,627583704.501,,,
764805336.659,390592882.747,,,
345918360.941,527632425.774,,,
29063737.5187,1582712275.99,,,
98973433.5653,1422837550.33,,,
328960855.118,605975184.238,,,
162872207.398,229026551.796,,,
1176282239.96,1697229834.21,,,
165225345.039,913877522.703,,,
529183306.014,971209739.51,,,
78055401.7054,506815639.652,,,
388662610.961,801210798.49,,,
288668924.415,445922419.685,,,
434809633.64,543156045.975,,,
81161915.3763,843110457.849,,,
135026088.694,380535733.873,,,
362196818.5,782129393.439,,,
273674422.13,156126492.955,,,
1368095139.05,483593227.602,,,
123607538.463,70780515.8603,,,
225975271.546,803135152.551,,,
192038919.36,638570555.824,,,
802064218.718,488491802.816,,,
-17796630.8143,424153343.843,,,
397457948.712,1479284476.29,,,
295948453.158,554319768.694,,,
233902396.577,109684252.411,,,
49239845.5279,598734187.295,,,
719066813.623,1178915170.1,,,
1360362820.98,2039341941.34,,,
285522092.204,150678134.808,,,
110023590.007,88603002.0729,,,
588359065.001,952144339.08,,,
81582919.7729,431525905.414,,,
176584837.28,989491519.257,,,
358522259.544,491692646.184,,,
286643374.904,1203966515.47,,,
659072288.774,271349963.737,,,
163369709.458,446508335.691,,,
615208759.782,752243185.585,,,
132884847.813,678543887.572,,,
80961475.133,1023900198.0,,,
25423310.0193,172249812.72,,,
272098455.651,1903312224.85,,,
238912137.315,391521285.898,,,
585713928.751,1550628129.27,,,
187227411.007,472676174.936,,,
107822547.285,434552037.785,,,
431113441.567,53597361.4968,,,
801596374.904,1405437650.34,,,
5629717.56257,229872791.517,,,
479259347.377,826727780.97,,,
306247403.723,1108781884.44,,,
384636437.344,152439046.802,,,
283455034.813,2558507608.67,,,
116143322.463,746430765.782,,,
174930938.032,1031516568.33,,,
256061837.382,830268182.947,,,
