X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
,,,,"[4.807261899999999, -75.7237356]","[4.8152842, -75.72089360000001]",1328.0,145.0,3.0531082934100344
,,,,"[4.8152842, -75.72089360000001]","[4.815898, -75.720742]",74.0,19.0,2.5210562973291775
,,,,"[4.815898, -75.720742]","[4.8106673, -75.702991]",2082.0,324.0,0.9565134486435212
,,,,"[4.8106673, -75.702991]","[4.8097809, -75.703231]",102.0,78.0,7.02524627304059
4.8048835093094695,-75.7649651255704,4.80645445675211,-75.730304974224,"[4.805052, -75.766313]","[4.8070882, -75.7636002]",470.0,132.0,1.469251628491284
,,,,"[4.8070882, -75.7636002]","[4.809012200000001, -75.7353559]",4080.0,520.0,0.8936935104089371
,,,,"[4.809012200000001, -75.7353559]","[4.807405, -75.731171]",659.0,61.0,0.9725270524002074
,,,,"[4.807405, -75.731171]","[4.8058679, -75.7313599]",209.0,29.0,2.139912553723641
,,,,"[4.8058679, -75.7313599]","[4.805359999999999, -75.73082]",82.0,27.0,2.86183387908345
,,,,"[4.805359999999999, -75.73082]","[4.80575, -75.72998]",114.0,25.0,2.9209264059401283
,,,,"[4.80575, -75.72998]","[4.8061934, -75.7298483]",52.0,31.0,8.173040790327361
,,,,"[4.8061934, -75.7298483]","[4.806208199999999, -75.7302196]",41.0,14.0,2.639879694895916
4.811855587206611,-75.7504955342398,4.80029314812453,-75.7565036420149,"[4.812113399999999, -75.7505862]","[4.820833899999999, -75.725702]",3271.0,245.0,2.077475893527447
,,,,"[4.820833899999999, -75.725702]","[4.8212164, -75.7254164]",72.0,32.0,4.939270923463011
,,,,"[4.8212164, -75.7254164]","[4.8196406, -75.7222197]",604.0,79.0,4.893111172736686
,,,,"[4.8196406, -75.7222197]","[4.821244399999999, -75.7252395]",631.0,87.0,5.128137606890532
,,,,"[4.821244399999999, -75.7252395]","[4.821001799999999, -75.7254316]",48.0,28.0,2.627714832128246
,,,,"[4.821001799999999, -75.7254316]","[4.8133271, -75.7671814]",5295.0,389.0,1.0619907725392639
,,,,"[4.8133271, -75.7671814]","[4.812658, -75.767303]",76.0,13.0,4.43241835710002
,,,,"[4.812658, -75.767303]","[4.8006312, -75.75097199999999]",2673.0,215.0,0.21881697867041183
,,,,"[4.8006312, -75.75097199999999]","[4.8002649, -75.7565051]",645.0,57.0,1.3484986217213166
4.808686915181322,-75.75121327922879,4.81391943265121,-75.7645454450665,"[4.8086885, -75.7512158]","[4.8066442, -75.7523937]",262.0,32.0,3.490519659259156
,,,,"[4.8066442, -75.7523937]","[4.8089872, -75.7509504]",523.0,77.0,3.4452674189284855
,,,,"[4.8089872, -75.7509504]","[4.8093808, -75.75009539999999]",205.0,30.0,1.3922761873731992
,,,,"[4.8093808, -75.75009539999999]","[4.8137973, -75.7645125]",1689.0,123.0,1.3532928351915694
4.802372139058809,-75.75158431718121,4.80678037979025,-75.7027184829435,"[4.8028071, -75.7510034]","[4.8038251, -75.7511633]",119.0,39.0,5.210662935457077
,,,,"[4.8038251, -75.7511633]","[4.8049712, -75.7510209]",131.0,31.0,2.6828072667923384
